scientificName,taxon,kingdom,earliestEventDate,earliestLocation,earliestISO3,totalCountryCount,habitat,establishmentMeans,isInvasiveAnywhere,originalDatabase
Blyxa echinosperma (C.B.Clarke) Hook.f.,Blyxa echinosperma,Plantae,NA,NA,NA,1,freshwater,introduced,TRUE,FirstRecords; GRIIS
"Boa constrictor Linnaeus, 1758",Boa constrictor,Animalia,2006,Belgium,BEL,4,terrestrial,introduced,TRUE,TrIAS; FirstRecords; GRIIS
Boehmeria nivea (L.) Gaudich.,Boehmeria nivea,Plantae,1500,Italy,ITA,20,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS
Boerhavia coccinea Mill.,Boerhavia coccinea,Plantae,1500,Italy,ITA,18,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS
Boerhavia diffusa L.,Boerhavia diffusa,Plantae,1886,South Africa,ZAF,20,freshwater; terrestrial,introduced,TRUE,FirstRecords; GRIIS
Boerhavia erecta L.,Boerhavia erecta,Plantae,1914,Indonesia,IDN,15,terrestrial,introduced,TRUE,SINAS; FirstRecords; GRIIS
"Boettgerilla pallens Simroth, 1912",Boettgerilla pallens,Animalia,1900,Poland,POL,15,terrestrial,introduced,TRUE,TrIAS; FirstRecords; GRIIS; Artsdatabanken; InstytutOchronyPrzyrody
Bolboschoenus maritimus (L.) Palla,Bolboschoenus maritimus,Plantae,NA,NA,NA,5,freshwater; terrestrial,introduced,TRUE,FirstRecords; GRIIS
Bomarea multiflora (L.f.) Mirb.,Bomarea multiflora,Plantae,1964,New Zealand,NZL,2,terrestrial,introduced,TRUE,FirstRecords; GRIIS
"Bombus impatiens Cresson, 1863",Bombus impatiens,Animalia,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
"Bombus lucorum (Linnaeus, 1761)",Bombus lucorum,Animalia,1979,Iceland,ISL,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
"Bombus ruderatus (Fabricius, 1775)",Bombus ruderatus,Animalia,1996,Argentina,ARG,4,terrestrial,introduced,TRUE,FirstRecords; GRIIS
"Bombus terrestris (Linnaeus, 1758)",Bombus terrestris,Animalia,1902,Norway,NOR,8,terrestrial,introduced,TRUE,SINAS; FirstRecords; GRIIS; M.McGeoch_AUS_2025
Bonnaya antipoda (L.) Druce,Bonnaya antipoda,Plantae,1987,United States,USA,10,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Bontia daphnoides L.,Bontia daphnoides,Plantae,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Borago officinalis L.,Borago officinalis,Plantae,1500,Austria,AUT,29,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS; Artsdatabanken
"Bos javanicus d'Alton, 1823",Bos javanicus,Animalia,-3500,Indonesia,IDN,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
"Bos taurus Linnaeus, 1758",Bos taurus,Animalia,1504,Chile,CHL,40,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS; M.McGeoch_AUS_2025
"Boselaphus tragocamelus (Pallas, 1766)",Boselaphus tragocamelus,Animalia,1924,United States,USA,3,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
"Bosmina coregoni Baird, 1857",Bosmina coregoni,Animalia,1950,Ukraine,UKR,3,freshwater; brackish; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS
Bothriochloa bladhii (Retz.) S.T. Blake; Bothriochloa bladhii (Retz.) S.T.Blake,Bothriochloa bladhii,Plantae,NA,NA,NA,20,brackish; freshwater,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Bothriochloa ischaemum (L.) Keng,Bothriochloa ischaemum,Plantae,1939,Mexico,MEX,10,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; TrIAS; FirstRecords; GRIIS
Bothriochloa pertusa (L.) A. Camus; Bothriochloa pertusa (L.) A.Camus,Bothriochloa pertusa,Plantae,1916,United States,USA,22,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Bougainvillea glabra Choisy,Bougainvillea glabra,Plantae,1888,Australia,AUS,16,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Brachiaria umbellata (Trin.) Clayton,Brachiaria umbellata,Plantae,NA,NA,NA,3,terrestrial,introduced,TRUE,GRIIS
"Brachycaudus rumexicolens (Patch, 1917)",Brachycaudus rumexicolens,Animalia,1913,United States,USA,3,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; GRIIS
Brachychiton acerifolius (A.Cunn. ex G.Don) F.Muell.,Brachychiton acerifolius,Plantae,NA,NA,NA,2,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Brachypodium distachyon (L.) P. Beauv.; Brachypodium distachyon (L.) P.Beauv.,Brachypodium distachyon,Plantae,1880,Australia,AUS,10,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; TrIAS; FirstRecords; GRIIS
Brachypodium pinnatum (L.) P. Beauv.; Brachypodium pinnatum (L.) P.Beauv.,Brachypodium pinnatum,Plantae,1891,Czech Republic,CZE,3,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Brachypodium sylvaticum (Huds.) P. Beauv.; Brachypodium sylvaticum (Huds.) P.Beauv.,Brachypodium sylvaticum,Plantae,1883,New Zealand,NZL,4,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,SINAS; USRIIS; FirstRecords; GRIIS
"Brachyrhynchus membranaceus (Fabricius, 1798)",Brachyrhynchus membranaceus,Animalia,2018,United States,USA,1,terrestrial,"introduced (alien, exotic, non-native, nonindigenous)",TRUE,USRIIS
"Bradybaena similaris (Ferussac, 1821); Bradybaena similaris (A.Férussac, 1822)",Bradybaena similaris,Animalia,1858,South Africa,ZAF,10,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
"Bradysia impatiens (Johannsen, 1912)",Bradysia impatiens,Animalia,NA,NA,NA,3,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
"Bramocharax bransfordii Gill, 1877",Bramocharax bransfordii,Animalia,NA,NA,NA,1,freshwater,introduced,TRUE,FirstRecords; GRIIS
"Branchiura sowerbyi Beddard, 1892",Branchiura sowerbyi,Animalia,1892,United Kingdom,GBR,13,brackish; freshwater; marine; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; TrIAS; FirstRecords; GRIIS; InstytutOchronyPrzyrody
"Branta canadensis (Linnaeus, 1758)",Branta canadensis,Animalia,1650,United Kingdom,GBR,29,brackish; freshwater,introduced,TRUE,SINAS; TrIAS; GRIIS; Artsdatabanken
"Brassica campestris Hegetschw., 1839",Brassica campestris,Plantae,NA,NA,NA,6,terrestrial,introduced,TRUE,GRIIS; FirstRecords
Brassica juncea (L.) Czern.,Brassica juncea,Plantae,1455,Bhutan,BTN,47,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,SINAS; USRIIS; TrIAS; FirstRecords; GRIIS
Brassica napus L.,Brassica napus,Plantae,1500,Bulgaria,BGR,33,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS
Brassica nigra (L.) W.D.J. Koch; Brassica nigra (L.) W.D.J.Koch,Brassica nigra,Plantae,1500,Austria,AUT,42,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS; InstytutOchronyPrzyrody
Brassica oleracea L.,Brassica oleracea,Plantae,1500,Austria,AUT,30,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS
Brassica rapa L.,Brassica rapa,Plantae,1500,Austria,AUT,41,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS
Brassica rapa var. oleifera DC.,Brassica rapa oleifera,Plantae,NA,NA,NA,6,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Brassica tournefortii Gouan,Brassica tournefortii,Plantae,1897,South Africa,ZAF,9,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; TrIAS; FirstRecords; GRIIS
"Brevipalpus obovatus Donnadieu, 1875",Brevipalpus obovatus,Animalia,NA,NA,NA,3,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; GRIIS
Breynia androgyna (L.) Chakrab. & N.P.Balakr.,Breynia androgyna,Plantae,1973,United States,USA,2,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Breynia disticha J.R. Forst. and G. Forst.; Breynia disticha J.R.Forst. & G.Forst.,Breynia disticha,Plantae,1880,Australia,AUS,21,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,SINAS; USRIIS; FirstRecords; GRIIS
Breynia retusa (Dennst.) Alston,Breynia retusa,Plantae,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Brillantaisia lamium (Nees) Benth.,Brillantaisia lamium,Plantae,1996,Australia,AUS,4,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Briza maxima L.,Briza maxima,Plantae,1500,Czechia,CZE,24,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS
Briza minor L.,Briza minor,Plantae,1500,Austria,AUT,23,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS
Bromelia pinguin L.,Bromelia pinguin,Plantae,NA,NA,NA,2,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Bromus arvensis L.,Bromus arvensis,Plantae,-2200,Czechia,CZE,19,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS; InstytutOchronyPrzyrody
Bromus briziformis Fisch. and C.A. Mey.; Bromus briziformis Fisch. & C.A.Mey.,Bromus briziformis,Plantae,1500,Czechia,CZE,10,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS
Bromus catharticus Vahl,Bromus catharticus,Plantae,1500,Germany,DEU,43,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS; B.Shrestha_NPL_2026
Bromus commutatus Schrad.,Bromus commutatus,Plantae,1500,Czechia,CZE,14,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS
Bromus diandrus Roth,Bromus diandrus,Plantae,1500,United Kingdom,GBR,19,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS
Bromus hordeaceus L.,Bromus hordeaceus,Plantae,1500,Austria,AUT,12,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS
Bromus hordeaceus subsp. hordeaceus,Bromus hordeaceus hordeaceus,Plantae,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Bromus inermis Leyss.,Bromus inermis,Plantae,1500,Switzerland,CHE,23,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS; Artsdatabanken; InstytutOchronyPrzyrody
Bromus japonicus Thunb. ex Murray; Bromus japonicus Houtt.; Bromus japonicus subsp. anatolicus (Boiss. & Heldr.) Pénzes,Bromus japonicus,Plantae,1500,Czechia,CZE,19,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS; InstytutOchronyPrzyrody
Bromus madritensis L.,Bromus madritensis,Plantae,1500,Germany,DEU,15,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS
Bromus racemosus L.,Bromus racemosus,Plantae,1807,Estonia,EST,8,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Bromus rigidus Roth,Bromus rigidus,Plantae,1500,Czechia,CZE,15,terrestrial,introduced,TRUE,DAISIE; TrIAS; FirstRecords; GRIIS
Bromus rubens L.,Bromus rubens,Plantae,1864,Australia,AUS,10,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; TrIAS; FirstRecords; GRIIS
Bromus secalinus L.,Bromus secalinus,Plantae,-2200,Czechia,CZE,24,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS; InstytutOchronyPrzyrody
Bromus squarrosus L.,Bromus squarrosus,Plantae,1500,Germany,DEU,15,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS; InstytutOchronyPrzyrody
Bromus sterilis L.,Bromus sterilis,Plantae,1500,Poland,POL,20,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS; InstytutOchronyPrzyrody
Bromus tectorum L.,Bromus tectorum,Plantae,1500,Poland,POL,26,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS; InstytutOchronyPrzyrody
"Brontispa longissima (Gestro, 1885)",Brontispa longissima,Animalia,1972,Papua New Guinea,PNG,16,terrestrial,introduced,TRUE,FirstRecords; GRIIS
"Brotogeris chiriri (Vieillot, 1818)",Brotogeris chiriri,Animalia,NA,NA,NA,2,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
"Brotogeris versicolurus (Statius Muller, 1776)",Brotogeris versicolurus,Animalia,1970,United States,USA,3,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Broussonetia papyrifera (L.) L'Her. ex Vent.; Broussonetia papyrifera (L.) L'Hér. ex Vent.,Broussonetia papyrifera,Plantae,1500,Bulgaria,BGR,38,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS
Browallia americana L.,Browallia americana,Plantae,1843,Indonesia,IDN,13,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,SINAS; USRIIS; FirstRecords; GRIIS
Brucea javanica (L.) Merr.,Brucea javanica,Plantae,1919,Democratic Republic of the Congo,COD,6,terrestrial,introduced,TRUE,FirstRecords; GRIIS
"Bruchophagus gibbus (Boheman, 1836)",Bruchophagus gibbus,Animalia,NA,NA,NA,3,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
"Bruchus pisorum (Linnaeus, 1758); Bruchus pisorum Linnaeus, 1758",Bruchus pisorum,Animalia,1663,United States,USA,19,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS; InstytutOchronyPrzyrody
"Bruchus rufimanus Boheman, 1833",Bruchus rufimanus,Animalia,1846,Poland,POL,16,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS; InstytutOchronyPrzyrody
"Bruchus signaticornis Gyllenhal, 1833",Bruchus signaticornis,Animalia,NA,NA,NA,3,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Brugmansia × candida Pers.,Brugmansia candida,Plantae,1897,Madagascar,MDG,11,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Brugmansia suaveolens (Humb. and Bonpl. ex Willd.) Bercht. and C. Presl; Brugmansia suaveolens (Humb. & Bonpl. ex Willd.) Bercht. & J.Presl,Brugmansia suaveolens,Plantae,1843,Australia,AUS,27,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,SINAS; USRIIS; FirstRecords; GRIIS
Brunnera sibirica Steven,Brunnera sibirica,Plantae,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Bryonia alba L.,Bryonia alba,Plantae,1500,Czechia,CZE,15,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS; Artsdatabanken; InstytutOchronyPrzyrody
Bryonia cretica L.,Bryonia cretica,Plantae,1924,Norway,NOR,4,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,SINAS; USRIIS; FirstRecords; GRIIS
Bryonia dioica Jacq.,Bryonia dioica,Plantae,1500,Czechia,CZE,13,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS; InstytutOchronyPrzyrody
"Bubalus bubalis (Linnaeus, 1758)",Bubalus bubalis,Animalia,-146,Tunisia,TUN,10,freshwater; terrestrial,introduced,TRUE,SINAS; FirstRecords; GRIIS
"Bubo bubo (Linnaeus, 1758)",Bubo bubo,Animalia,1832,United Kingdom,GBR,2,terrestrial,introduced,TRUE,FirstRecords; GRIIS
"Bubo virginianus (J.F.Gmelin, 1788)",Bubo virginianus,Animalia,2007,Belgium,BEL,2,terrestrial,introduced,TRUE,TrIAS; FirstRecords; GRIIS
"Bubulcus ibis (Linnaeus, 1758)",Bubulcus ibis,Animalia,1799,Algeria,DZA,18,freshwater; terrestrial,introduced,TRUE,FirstRecords; GRIIS
"Buceros bicornis Linnaeus, 1758",Buceros bicornis,Animalia,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Buchnera americana L.,Buchnera americana,Plantae,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Buchnera floridana Gand.,Buchnera floridana,Plantae,NA,NA,NA,4,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Buchozia japonica (Thunb.) Callm.,Buchozia japonica,Plantae,NA,NA,NA,2,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Buddleja davidii Franch.,Buddleja davidii,Plantae,1500,Bulgaria,BGR,49,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS; Artsdatabanken; InstytutOchronyPrzyrody
Buddleja lindleyana Fortune; Buddleja lindleyana Fortune ex Lindl.,Buddleja lindleyana,Plantae,1843,Australia,AUS,3,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Buddleja madagascariensis Lam.,Buddleja madagascariensis,Plantae,1843,Australia,AUS,14,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
"Bufo gargarizans Cantor, 1842",Bufo gargarizans,Animalia,1935,Japan,JPN,1,freshwater; terrestrial,introduced,TRUE,FirstRecords; GRIIS
"Bufo japonicus Temminck & Schlegel, 1838",Bufo japonicus,Animalia,NA,NA,NA,1,freshwater; terrestrial,introduced,TRUE,FirstRecords; GRIIS
Buglossoides arvensis (L.) I.M. Johnst.; Buglossoides arvensis (L.) I.M.Johnst.,Buglossoides arvensis,Plantae,1600,Sweden,SWE,14,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,SINAS; USRIIS; FirstRecords; GRIIS; InstytutOchronyPrzyrody
"Bulasconotus scaccarius Bernard & Gillett, 2020",Bulasconotus scaccarius,Animalia,2009,United States,USA,1,terrestrial,"introduced (alien, exotic, non-native, nonindigenous)",TRUE,USRIIS
Bunias orientalis L.,Bunias orientalis,Plantae,1500,Switzerland,CHE,30,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS; Artsdatabanken; InstytutOchronyPrzyrody
"Bupalus piniaria (Linnaeus, 1758)",Bupalus piniaria,Animalia,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
"Bursaphelenchus xylophilus Steiner & Buhrer, 1934",Bursaphelenchus xylophilus,Animalia,NA,NA,NA,3,terrestrial,introduced,TRUE,GRIIS
"Butis koilomatodon (Bleeker, 1849)",Butis koilomatodon,Animalia,1973,Panama,PAN,6,freshwater; terrestrial,introduced,TRUE,FirstRecords; GRIIS
Butomus umbellatus L.,Butomus umbellatus,Plantae,1856,India,IND,4,freshwater; brackish; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Buxus microphylla Siebold and Zucc.; Buxus microphylla Siebold & Zucc.,Buxus microphylla,Plantae,NA,NA,NA,3,brackish; freshwater,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
"Bythotrephes cederstroemi Schödler, 1863",Bythotrephes cederstroemi,Animalia,1965,Canada,CAN,1,brackish; freshwater; terrestrial,introduced,TRUE,FirstRecords; GRIIS
"Bythotrephes longimanus Leydig, 1860",Bythotrephes longimanus,Animalia,1970,Russia,RUS,3,freshwater; brackish; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,"SINAS, DAISIE; USRIIS; FirstRecords; GRIIS"
Cabomba caroliniana A.Gray,Cabomba caroliniana,Plantae,1500,United Kingdom,GBR,19,brackish; freshwater,introduced,TRUE,DAISIE; TrIAS; FirstRecords; GRIIS; InstytutOchronyPrzyrody
"Cacatua galerita (Latham, 1790)",Cacatua galerita,Animalia,1900,New Zealand,NZL,7,terrestrial,introduced,TRUE,FirstRecords; GRIIS
"Cactoblastis cactorum Berg, 1885; Cactoblastis cactorum (Berg, 1885)",Cactoblastis cactorum,Animalia,1933,Australia,AUS,11,terrestrial,introduced: assisted colonization; introduced,TRUE,CABI; USRIIS; FirstRecords; GRIIS
"Cacyreus marshalli Butler, 1897",Cacyreus marshalli,Animalia,1987,United Kingdom,GBR,6,terrestrial,introduced,TRUE,TrIAS; FirstRecords; GRIIS
"Cadra calidella Guenée, 1845",Cadra calidella,Animalia,1894,Denmark,DNK,6,terrestrial,introduced,TRUE,DAISIE; FirstRecords; GRIIS
"Cadra cautella (Walker, 1863)",Cadra cautella,Animalia,1884,United States,USA,14,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
"Cadra figulilella (Gregson, 1871)",Cadra figulilella,Animalia,1871,Sweden,SWE,10,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Caesalpinia pulcherrima (L.) Sw.,Caesalpinia pulcherrima,Plantae,1680,India,IND,55,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
"Caiman crocodilus (Linnaeus, 1758)",Caiman crocodilus,Animalia,1955,United States,USA,3,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; TrIAS; FirstRecords; GRIIS
"Caiman crocodilus fuscus (Cope, 1868)",Caiman crocodilus fuscus,Animalia,NA,NA,NA,1,freshwater; terrestrial,introduced,TRUE,FirstRecords; GRIIS
"Cairina moschata (Established Feral); Cairina moschata (Linnaeus, 1758)",Cairina moschata,Animalia,1750,Mauritius,MUS,15,freshwater; terrestrial,introduced,TRUE,SINAS; TrIAS; FirstRecords; GRIIS
Cajanus cajan (L.) Huth,Cajanus cajan,Plantae,1865,United States,USA,38,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Cajanus scarabaeoides (L.) Thouars,Cajanus scarabaeoides,Plantae,NA,NA,NA,6,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Cakile edentula (Bigelow) Hook.,Cakile edentula,Plantae,1863,Australia,AUS,3,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Cakile maritima Scop.,Cakile maritima,Plantae,1500,Slovakia,SVK,9,brackish; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS
"Calacarus flagelliseta Fletchmann, De Moraes & Barbosa (2001)",Calacarus flagelliseta,Animalia,1991,United States,USA,1,terrestrial,"introduced (alien, exotic, non-native, nonindigenous)",TRUE,USRIIS
Caladium bicolor (Aiton) Vent.,Caladium bicolor,Plantae,1903,Democratic Republic of the Congo,COD,28,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Calamagrostis arenaria (L.) Roth,Calamagrostis arenaria,Plantae,NA,NA,NA,6,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Calamagrostis breviligulata (Fernald) Saarela,Calamagrostis breviligulata,Plantae,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Calamagrostis epigejos (L.) Roth,Calamagrostis epigejos,Plantae,1944,New Zealand,NZL,4,terrestrial,introduced,TRUE,SINAS; FirstRecords; GRIIS
"Calanthe tankervilleae (Banks) M.W.Chase, Christenh. & Schuit.",Calanthe tankervilleae,Plantae,NA,NA,NA,2,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Calceolaria mexicana Benth.,Calceolaria mexicana,Plantae,1956,India,IND,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Calendula officinalis L.,Calendula officinalis,Plantae,1500,Austria,AUT,37,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS; Artsdatabanken
Calendula tripterocarpa Rupr.,Calendula tripterocarpa,Plantae,1960,Chile,CHL,3,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Calliandra haematocephala Hassk.,Calliandra haematocephala,Plantae,NA,NA,NA,9,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Calliandra houstoniana (Mill.) Standl.,Calliandra houstoniana,Plantae,NA,NA,NA,17,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Calliandra houstoniana var. calothyrsus (Meisn.) Barneby,Calliandra houstoniana calothyrsus,Plantae,NA,NA,NA,9,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Calliandra surinamensis Benth.,Calliandra surinamensis,Plantae,1930,United States,USA,12,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
